Frame,PSNR,SSIM,MaxPixelDiff,MeanPixelDiff
0,9.34089,0.7417,177,80.0754
1,18.719,0.708905,183,18.5929
2,9.16867,0.26602,239,70.0101
3,6.81805,0.216807,255,101.934
4,6.29777,0.204894,255,109.738
5,6.20067,0.195431,255,111.19
6,6.15956,0.186923,255,111.769
7,6.12616,0.17851,255,112.243
8,6.09152,0.171027,255,112.712
9,6.06123,0.164772,255,113.166
10,6.03416,0.159021,255,113.56
11,6.01126,0.153778,255,113.888
12,5.99033,0.150469,255,114.159
13,5.97853,0.147468,255,114.34
14,5.96693,0.144783,255,114.501
15,5.95866,0.142342,255,114.624
16,5.94934,0.14027,255,114.734
17,5.94589,0.138799,255,114.802
18,5.94022,0.137398,255,114.87
19,5.93654,0.136279,255,114.927
20,5.9317,0.13526,255,114.977
21,5.93031,0.134431,255,115.008
22,5.92676,0.133584,255,115.046
23,5.9255,0.132845,255,115.065
24,5.92283,0.132358,255,115.089
25,5.92336,0.13193,255,115.096
26,5.92072,0.131503,255,115.116
27,5.92098,0.131006,255,115.117
28,5.91808,0.13042,255,115.139
29,5.91929,0.130191,255,115.147
30,5.918,0.129956,255,115.156
31,5.91757,0.129694,255,115.164
32,5.9155,0.12958,255,115.175
33,5.91767,0.1296,255,115.167
34,5.91717,0.129509,255,115.167
35,5.91864,0.129342,255,115.162
36,5.91768,0.129314,255,115.163
37,5.92021,0.129422,255,115.15
38,5.92064,0.129478,255,115.145
39,5.81087,0.11426,255,116.839
40,5.26576,0.163041,255,125.819
41,4.77762,0.345367,255,134.927
42,4.76902,0.42068,255,135.099
43,4.75726,0.428346,255,135.343
44,4.74888,0.428827,255,135.491
45,4.65657,0.449124,255,137.332
46,4.62006,0.482826,255,138.046
47,4.61631,0.500764,255,138.126
48,4.59387,0.502241,255,138.558
49,4.60189,0.504411,255,138.409
50,4.59801,0.504121,255,138.482
51,4.60202,0.504743,255,138.407
52,4.59382,0.503742,255,138.552
53,4.6023,0.504725,255,138.394
54,4.59865,0.504672,255,138.456
55,4.60133,0.505145,255,138.408
56,4.59273,0.504207,255,138.558
57,4.60074,0.505529,255,138.409
58,4.59626,0.5053,255,138.482
59,4.60086,0.505867,255,138.4
60,4.59307,0.50497,255,138.542
61,4.602,0.506762,255,138.382
62,4.59756,0.506785,255,138.458
63,4.60059,0.507154,255,138.398
64,4.59094,0.506249,255,138.566
65,4.60096,0.507855,255,138.4
66,4.59681,0.50758,255,138.472
67,4.5997,0.507979,255,138.416
68,4.59193,0.507232,255,138.545
69,4.60164,0.508892,255,138.373
70,4.59768,0.508728,255,138.444
71,4.60182,0.509169,255,138.368
72,4.59252,0.508137,255,138.529
73,4.60074,0.509665,255,138.382
74,4.59685,0.509534,255,138.449
75,4.60102,0.510144,255,138.379
76,4.5921,0.509193,255,138.533
77,4.60088,0.51092,255,138.375
78,4.59792,0.510869,255,138.431
79,4.60048,0.511304,255,138.383
80,4.59078,0.510512,255,138.549
81,4.60013,0.51204,255,138.386
82,4.59673,0.511769,255,138.445
83,4.60012,0.512339,255,138.391
84,4.59092,0.511522,255,138.554
85,4.59939,0.513109,255,138.403
86,4.5951,0.513071,255,138.476
87,4.59792,0.513687,255,138.437
88,4.58966,0.513043,255,138.595
89,4.60026,0.515073,255,138.412
90,4.59562,0.515213,255,138.51
91,4.60009,0.516151,255,138.43
92,4.59191,0.515628,255,138.585
93,4.60265,0.517634,255,138.405
94,4.59808,0.517814,255,138.492
95,4.60185,0.518508,255,138.431
96,4.59273,0.517969,255,138.593
97,4.60278,0.519754,255,138.414
98,4.59903,0.519807,255,138.484
99,4.60232,0.520209,255,138.432
100,4.59278,0.519487,255,138.601
101,4.60275,0.521012,255,138.425
102,4.59896,0.520872,255,138.497
103,4.60221,0.521251,255,138.433
104,4.5937,0.52048,255,138.583
105,4.60446,0.522562,255,138.399
106,4.60031,0.522591,255,138.47
107,4.60453,0.523092,255,138.396
108,4.59585,0.52251,255,138.549
109,4.60564,0.524189,255,138.378
110,4.60211,0.523921,255,138.436
111,4.60514,0.524513,255,138.38
112,4.59675,0.523779,255,138.532
113,4.60682,0.525449,255,138.356
114,4.60278,0.525082,255,138.422
115,4.60612,0.525478,255,138.37
116,4.59803,0.524529,255,138.508
117,4.60558,0.526079,255,138.366
118,4.60115,0.526088,255,138.442
119,4.60367,0.526398,255,138.396
120,4.59384,0.525388,255,138.569
121,4.6034,0.52723,255,138.399
122,4.59938,0.526763,255,138.475
123,4.60254,0.527326,255,138.422
124,4.593,0.526444,255,138.588
125,4.602,0.527923,255,138.424
126,4.59872,0.527921,255,138.481
127,4.60077,0.528104,255,138.433
128,4.59272,0.527178,255,138.586
129,4.60183,0.528804,255,138.424
130,4.59723,0.528295,255,138.51
131,4.60085,0.528846,255,138.446
132,4.59263,0.527792,255,138.586
133,4.60104,0.529447,255,138.437
134,4.5973,0.529337,255,138.506
135,4.60099,0.529949,255,138.445
136,4.5923,0.528777,255,138.6
137,4.60056,0.530292,255,138.448
138,4.59753,0.53001,255,138.506
139,4.60068,0.530567,255,138.454
140,4.59185,0.529227,255,138.609
141,4.60116,0.53105,255,138.436
142,4.59743,0.5306,255,138.503
143,4.60035,0.531051,255,138.449
144,4.59285,0.530013,255,138.58
145,4.60229,0.531573,255,138.411
146,4.59811,0.531242,255,138.488
147,4.60248,0.531701,255,138.411
148,4.59506,0.530906,255,138.542
149,4.60323,0.532623,255,138.395
150,4.59954,0.532461,255,138.472
151,4.60467,0.533115,255,138.379
152,4.59522,0.53211,255,138.543
153,4.60578,0.533918,255,138.362
154,4.60107,0.533839,255,138.449
155,4.60382,0.534471,255,138.402
156,4.59489,0.533707,255,138.573
157,4.60577,0.535817,255,138.382
158,4.60162,0.535956,255,138.464
159,4.60685,0.536559,255,138.371
160,4.59639,0.535572,255,138.557
161,4.60516,0.537205,255,138.405
162,4.60242,0.536984,255,138.459
163,4.60638,0.537514,255,138.391
164,4.60033,0.536527,255,138.504
165,4.61045,0.538211,255,138.326
166,4.60606,0.537762,255,138.402
167,4.61078,0.538203,255,138.316
168,4.60187,0.537149,255,138.465
169,4.6108,0.538861,255,138.308
170,4.60775,0.53861,255,138.364
171,4.6118,0.538832,255,138.289
172,4.60283,0.537708,255,138.445
173,4.61182,0.539172,255,138.287
174,4.60774,0.538526,255,138.352
175,4.61076,0.538787,255,138.296
176,4.60187,0.537826,255,138.446
177,4.61174,0.539295,255,138.275
178,4.60781,0.538836,255,138.346
179,4.61037,0.539029,255,138.306
180,4.60159,0.538059,255,138.459
181,4.61006,0.539517,255,138.317
182,4.60421,0.539213,255,138.41
183,4.60659,0.53935,255,138.363
184,4.59732,0.538214,255,138.528
185,4.60607,0.539678,255,138.371
186,4.60118,0.539315,255,138.455
187,4.6047,0.539788,255,138.396
188,4.59686,0.538534,255,138.533
189,4.60382,0.539886,255,138.413
190,4.60062,0.539487,255,138.474
191,4.6031,0.539516,255,138.426
192,4.59487,0.538482,255,138.576
193,4.6047,0.539901,255,138.4
194,4.60129,0.539519,255,138.466
195,4.60498,0.539749,255,138.4
196,4.59432,0.538539,255,138.583
197,4.60409,0.540174,255,138.406
198,4.60036,0.539722,255,138.477
199,4.60216,0.539917,255,138.444
200,4.59467,0.538762,255,138.58
201,4.60485,0.540631,255,138.408
202,4.60104,0.540274,255,138.484
203,4.60547,0.54086,255,138.414
204,4.59664,0.539706,255,138.572
205,4.60409,0.54113,255,138.443
206,4.60007,0.540872,255,138.517
207,4.60487,0.541046,255,138.43
208,4.59525,0.539354,255,138.601
209,4.60392,0.540671,255,138.443
210,4.59919,0.53987,255,138.524
211,4.60173,0.539801,255,138.474
212,4.59273,0.538324,255,138.627
213,4.60222,0.539859,255,138.454
214,4.59759,0.539107,255,138.532
215,4.60192,0.539408,255,138.451
216,4.5931,0.538174,255,138.605
217,4.60345,0.539545,255,138.422
218,4.6002,0.539124,255,138.477
219,4.60246,0.539034,255,138.434
220,4.59507,0.538071,255,138.566
221,4.60579,0.539806,255,138.377
222,4.60223,0.539302,255,138.438
223,4.60573,0.539656,255,138.381
